0,1]0,1]0,1]0,1]0,1]286,0]287,0]287,0]287,0]288,0]0,1]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]286,0]542,1]407,1]407,1]407,1]557,1]288,0]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]286,0]542,1]407,1]407,1]407,1]407,1]407,1]557,1]288,0]0,1]0,1]0,1]/
0,1]0,1]286,0]542,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,1]288,0]0,1]0,1]/
0,1]286,0]542,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,1]288,0]0,1]/
286,0]542,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,1]288,0]/
406,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]408,0]/
406,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]408,0]/
406,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]408,0]/
414,0]510,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,1]416,0]/
0,1]414,0]510,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,1]416,0]0,1]/
0,1]0,1]414,0]510,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,1]416,0]0,1]0,1]/
0,1]0,1]0,1]414,0]510,1]407,1]407,1]407,1]407,1]407,1]533,1]416,0]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]414,0]510,1]407,1]407,1]407,1]533,1]416,0]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]0,1]414,0]471,0]471,0]471,0]416,0]0,1]0,1]0,1]0,1]0,1]/
