0,1]0,1]0,1]0,1]0,1]286,0]287,0]287,0]287,0]288,0]0,1]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]286,0]542,0]407,1]407,1]407,1]557,0]288,0]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]286,0]542,0]407,1]407,1]407,1]407,1]407,1]557,0]288,0]0,1]0,1]0,1]/
0,1]0,1]286,0]542,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,0]288,0]0,1]0,1]/
0,1]286,0]542,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,0]288,0]0,1]/
286,0]542,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]557,0]288,0]/
406,0]407,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,0]408,0]/
406,0]407,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,0]408,0]/
406,0]407,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,0]408,0]/
414,0]510,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,0]416,0]/
0,1]414,0]510,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,0]416,0]0,1]/
0,1]0,1]414,0]510,0]407,1]407,1]407,1]407,1]407,1]407,1]407,1]533,0]416,0]0,1]0,1]/
0,1]0,1]0,1]414,0]510,0]407,1]407,1]407,1]407,1]407,1]533,0]416,0]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]414,0]510,0]407,1]407,1]407,1]533,0]416,0]0,1]0,1]0,1]0,1]/
0,1]0,1]0,1]0,1]0,1]414,0]471,0]471,0]471,0]416,0]0,1]0,1]0,1]0,1]0,1]/
